gene,MitoPathways
LRPPRC,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation
DLST,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism
PDHX,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
GFM1,Mitochondrial central dogma > Translation > Translation factors
MPC2,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport
NDUFS1,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
MRPL46,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ATP5F1E,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
SLC25A3,Metabolism > Metals and cofactors > Copper metabolism | Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > SLC25A family
MRPS23,Mitochondrial central dogma > Translation > Mitochondrial ribosome
FH,Metabolism > Carbohydrate metabolism > TCA cycle
PMPCA,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
ATP5F1B,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
SDHAF4,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors
UQCR10,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
ISCA1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
SUCLA2,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
COQ3,Metabolism > Metals and cofactors > Coenzyme Q metabolism
IARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
MRPS15,Mitochondrial central dogma > Translation > Mitochondrial ribosome
IDH3A,Metabolism > Carbohydrate metabolism > TCA cycle
COX11,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors
ETFDH,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
TIMM10,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
MRPL34,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRPL2,Mitochondrial central dogma > Translation > Mitochondrial ribosome
BCKDHA,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
UQCRH,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
HIGD2A,OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly
ATP5PO,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
ECHS1,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism
LETMD1,Small molecule transport
COX6A1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
COX15,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors
AFG3L2,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
HADHA,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
ETFA,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
NDUFS7,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
CPT2,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle
BCKDHB,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
IDH3B,Metabolism > Carbohydrate metabolism > TCA cycle
LARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
ACADS,Metabolism > Lipid metabolism > Fatty acid oxidation
LETM1,Signaling > Calcium homeostasis > Calcium cycle
ATP5ME,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation
OPA1,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Cristae formation
AUH,Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
SUCLG1,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
NDUFV2,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
COQ6,Metabolism > Metals and cofactors > Coenzyme Q metabolism
MRPL43,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ABHD11,Metabolism > Carbohydrate metabolism > TCA-associated
ATP5PF,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
NDUFB8,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
LONP1,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
DLD,Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system
AIFM1,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40 | OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors | Mitochondrial dynamics and surveillance > Apoptosis"
ECHDC3,0
APOOL,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
MRPL10,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRRF,Mitochondrial central dogma > Translation > Translation factors
NDUFS8,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
ACADM,Metabolism > Lipid metabolism > Fatty acid oxidation
IMMT,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
TIMM9,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
SLC25A4,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family
SAMM50,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"
NDUFS2,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
NDUFV1,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
ACO2,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins
SUPV3L1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
FECH,Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S-containing proteins
MTIF2,Mitochondrial central dogma > Translation > Translation factors
PHB,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
HIBCH,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
MRPS2,Mitochondrial central dogma > Translation > Mitochondrial ribosome
HSPA9,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
SURF1,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
PRDX3,Metabolism > Detoxification > ROS and glutathione metabolism
GHITM,Mitochondrial dynamics and surveillance > Apoptosis
GUF1,Mitochondrial central dogma > Translation
TIMM13,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
LYRM4,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
MRPL16,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRPL40,Mitochondrial central dogma > Translation > Mitochondrial ribosome
IDH3G,Metabolism > Carbohydrate metabolism > TCA cycle
SDHC,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits
NDUFB5,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
SDHAF2,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors
COQ10A,Metabolism > Metals and cofactors > Coenzyme Q metabolism
GATD3A,0
TXN2,Metabolism > Vitamin metabolism > Vitamin C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism
MRPS18A,Mitochondrial central dogma > Translation > Mitochondrial ribosome
COX6C,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
NDUFB9,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MTCH2,Small molecule transport > SLC25A family | Mitochondrial dynamics and surveillance > Fusion
NDUFA6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
SLC25A20,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle | Small molecule transport > SLC25A family
MRPL1,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TIMM44,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor"
COX17,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors
MICOS10,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
SOD2,Metabolism > Detoxification > ROS and glutathione metabolism
COX6B1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
VDAC1,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Mitochondrial dynamics and surveillance > Organelle contact sites | Small molecule transport
CLPP,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
HADH,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism
ACADL,Metabolism > Lipid metabolism > Fatty acid oxidation
ACAT1,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism
MALSU1,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
CLPX,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
NDUFS4,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MRPL4,Mitochondrial central dogma > Translation > Mitochondrial ribosome
C1QBP,Signaling > Immune response
PITRM1,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
UQCC1,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors
MRPL55,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRM1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
MECR,Metabolism > Lipid metabolism > Type II fatty acid synthesis
MRPL44,Mitochondrial central dogma > Translation > Mitochondrial ribosome
HSDL2,0
MRPS14,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ABCB8,Small molecule transport > ABC transporters
ATPAF2,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors
NDUFA9,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
COA6,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
POLRMT,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription
ISCU,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
RTN4IP1,0
OGDHL,Metabolism > Carbohydrate metabolism > TCA cycle
ATP5F1C,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
BCKDK,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
GFM2,Mitochondrial central dogma > Translation > Translation factors
NDUFAF4,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
SLC25A35,Small molecule transport > SLC25A family
SLC25A11,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > SLC25A family
TIMM8B,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
MCAT,Metabolism > Lipid metabolism > Type II fatty acid synthesis
IBA57,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
PHB2,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
DAP3,Mitochondrial central dogma > Translation > Mitochondrial ribosome
CMC2,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
SDHAF1,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors
MRPS17,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ADHFE1,Metabolism > Amino acid metabolism > GABA metabolism
NFS1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
NDUFAF5,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
MRPL17,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TACO1,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
MFN1,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Organelle contact sites
PPTC7,Signaling
MRPL11,Mitochondrial central dogma > Translation > Mitochondrial ribosome
COX4I1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
NDUFS6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MRPL13,Mitochondrial central dogma > Translation > Mitochondrial ribosome
OXCT1,Metabolism > Carbohydrate metabolism > Ketone metabolism
COX5B,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
PDK2,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
ALAS1,Metabolism > Metals and cofactors > Heme synthesis and processing
MRPL33,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MTO1,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
LIAS,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Metals and cofactors > Fe-S-containing proteins
NDUFA5,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
NDUFB6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MTX2,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"
SUCLG2,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
FDX1,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin D metabolism"
SLC25A1,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated | Metabolism > Lipid metabolism | Small molecule transport > SLC25A family
MRPS28,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TIMM50,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"
VDAC2,Small molecule transport
SLC25A42,Metabolism > Metals and cofactors > Coenzyme A metabolism | Small molecule transport > SLC25A family
TOMM7,"Protein import, sorting and homeostasis > Protein import and sorting > TOM | Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy"
ECH1,Metabolism > Lipid metabolism
GATB,Mitochondrial central dogma > Translation > mt-tRNA synthetases
BCS1L,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors
ERAL1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
CMC1,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
MRPL28,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TSFM,Mitochondrial central dogma > Translation > Translation factors
FXN,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
NFU1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
YARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
MRPL21,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ALDH4A1,Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Amino acid metabolism > Glyoxylate metabolism
TOMM40L,"Protein import, sorting and homeostasis > Protein import and sorting > TOM"
NDUFAF1,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
NDUFB10,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
ACADSB,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
MRPS9,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome
COQ8A,Metabolism > Metals and cofactors > Coenzyme Q metabolism
ACADVL,Metabolism > Lipid metabolism > Fatty acid oxidation
COQ4,Metabolism > Metals and cofactors > Coenzyme Q metabolism
MRPL15,Mitochondrial central dogma > Translation > Mitochondrial ribosome
NDUFA2,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MRPL24,Mitochondrial central dogma > Translation > Mitochondrial ribosome
HSPD1,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
NDUFS5,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
AK3,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
CYCS,Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits | OXPHOS > Cytochrome C | Mitochondrial dynamics and surveillance > Apoptosis
MIPEP,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
LYRM7,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors
CRAT,Metabolism > Lipid metabolism > Fatty acid oxidation
PCCB,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation
MRPS7,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRPL3,Mitochondrial central dogma > Translation > Mitochondrial ribosome
PRODH,"Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
PCCA,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Biotin utilizing proteins
MCCC1,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Vitamin metabolism > Biotin utilizing proteins
MRPS12,Mitochondrial central dogma > Translation > Mitochondrial ribosome
CLPB,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
PDK1,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
MRPL49,Mitochondrial central dogma > Translation > Mitochondrial ribosome
COX7A2,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
TMEM126A,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
ECHDC2,0
HCCS,Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS subunits | OXPHOS > Cytochrome C
HIBADH,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
MRPL19,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRPL36,Mitochondrial central dogma > Translation > Mitochondrial ribosome
SLC25A30,Metabolism > Sulfur metabolism | Small molecule transport > SLC25A family
BDH1,Metabolism > Carbohydrate metabolism > Ketone metabolism
FARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
ABCB7,Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Small molecule transport > ABC transporters
MTX1,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"
NDUFA7,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
TIMM17A,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"
ALDH9A1,Metabolism > Amino acid metabolism > GABA metabolism | Metabolism > Detoxification > ROS and glutathione metabolism
MRPS18C,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
ALDH6A1,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
FDXR,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Vitamin metabolism > Vitamin D metabolism"
GATC,Mitochondrial central dogma > Translation > mt-tRNA synthetases
TRAP1,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
ACAD8,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
ALDH2,Metabolism > Detoxification > Xenobiotic metabolism
PPIF,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore
TIMM22,"Protein import, sorting and homeostasis > Protein import and sorting > TIM22 carrier pathway"
IVD,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
L2HGDH,Metabolism > Carbohydrate metabolism > TCA-associated
ETHE1,Metabolism > Sulfur metabolism
MRPL20,Mitochondrial central dogma > Translation > Mitochondrial ribosome
SLC25A5,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family
SLC25A12,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Amino acid metabolism > Glutamate metabolism | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family
MRPS21,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TOMM22,"Protein import, sorting and homeostasis > Protein import and sorting > TOM"
ACAA2,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism
MRPL30,Mitochondrial central dogma > Translation > Mitochondrial ribosome
DNAJA3,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
NDUFB2,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MRPS34,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ETFB,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
